夏春秋,吴耀冬(本名)
深津绘里,深津絵里 / 水原里絵(旧艺名) / 高原里絵(旧艺名)
松坂庆子,高内庆子(本名)
德永绘里,徳永恵理
贾琳珀恩·朱凯特,札玲朋·尊克迪
楚缇玛·提潘娜特,Tai
雷·麦克唐纳,雷迈多纳
齐藤祥太,斉藤祥太
杉咲花,梶浦花(曾用艺名)
雷·米兰德,雷·米伦
罗伊·沙伊德尔,罗伊·施奈德 / 罗伊·谢德
杰西卡·坦迪,洁西卡·坦迪
池胁千鹤,池脇千鹤 / 池协千鹤
埃里奥·杰曼诺,艾罗·泽曼诺 / 艾利欧杰曼诺
阿部力,李冬冬（中文原名） / 李振冬（中文艺名）
佐藤惠,佐藤めぐみ
高良健吾,Kengo Kôra
松田翔太,绵羊
小栗旬,栗子(昵称) / 建国(昵称) / 总攻(昵称)
松本润,松润 / 马子俊
相叶雅纪,爱拔 / 小相叶(昵称)
中村桥之助,三代目中村橋之助 / 中村幸二（本名）
广田玲名,广田玲央名
赤西仁,仁(昵称) / 小红(昵称) / 团子(昵称) / 美仁(昵称)
龟梨和也,咩咩(昵称)
石桥杏奈,石橋杏奈
仲里依纱,仲里依紗
佐藤二朗,佛祖
冈田将生,岡田将生
北乃绮,北乃纪伊
亚利克·基尼斯,亚历克·吉尼斯
亨利·方达,亨利·杰因斯·方达
理查德·弗莱彻,理查德·弗莱舍
杰拉丹·佩姬,杰拉丁·佩之
北大路欣也,浅井将胜
布罗德里克·克劳福德,布罗德里克·克劳福
里见浩太朗,佐野邦俊（本名） / 镜小五郎（旧名） / 富士川一夫（旧名） / 里见浩太郎（又名）
田口淳之介,甜甜(昵称)
矢野圣人,三浦圣人
小池荣子,小池栄子
生濑胜久,生瀬勝久
堺雅人,雅人叔
铃木亚美,鈴木亜美
八木希,八木望
上野树里,树(昵称) / 小树(昵称)
宫崎葵,宫琦葵
绪方义博,点点
盐见三省,塩見三省
永濑正敏,永瀬正敏
菊岛隆三,菊岛龙三
姜文,姜小军(原名)
津田宽治,津田寛治
市川染五郎,藤间照薰(本名) / 松本锦升(艺名)
森次晃嗣,Koji Moritsugu
北见敏之,北見敏之
黑泽明,黑泽天皇 / 黒澤明 / 黒沢明
西蒙·西涅莱,西蒙涅•西妮奥莱
马克西米连·谢尔,马克西米利安·谢尔
巴斯尔·拉斯博,巴兹尔 拉斯伯恩
劳伦斯·奥利弗,劳伦斯·奥列佛 / 劳伦斯·奥利佛
乔安娜·伍德沃德,琼安娜·伍华德
安纳托尔·李维克,阿纳托尔·利特瓦克
吉田羊,吉田羊右子(本名)
松岛菜菜子,松嶋菜々子
大塚宁宁,大塚寧々
儿玉清,児玉清
浜田麻希,滨田美姬
山下智久,山P(昵称) / 青木智久(曾用名)
棚田由纪,棚田由纪
明金成,满爷(小名)
梁又琳,梁淑慧(本名)
桂纶镁,小镁(昵称)
恰拉,佐藤美和(本名) / 卓娜
阿部宽,阿部chan(昵称)
广末凉子,広末涼子
铃木杏,鈴木杏
石田彰,石头(昵称)
村上龙,村上龍
斯碧尔·谢波德,西碧尔·谢波德
弗朗西斯科·罗西,佛朗赤斯高·罗西 / 法兰西斯科·罗西 / 弗朗切斯科·罗西
安吉拉·兰斯伯瑞,安杰拉·兰斯伯里
加藤刚,加藤剛
渡濑恒彦,渡瀬恒彦
小川真由美,小川眞由美
田中裕子,泽田裕子
绪形拳,绪形 明伸(本名)
平干二朗,平幹二朗
高桥伴明,高橋伴明
鹤田浩二,小野荣一(本名)
织田裕二,織田裕二
丰原功补,豊原功補
冈本健一,冈本健一
小泽真珠,小沢真珠
游井亮子,遊井亮子
土屋安娜,土屋アンナ
橋爪 浩一,桥爪 浩一
柴崎幸,山村幸惠(本名) / 柴咲幸
渥美真理,渥美玛丽
田村亮,田村幸照(本名)
格列塔·斯卡奇,格里泰·斯卡绮
沃尔夫冈·彼德森,和夫根彼德逊 / 伍夫岗彼得森
阿尔弗雷德·希区柯克,阿佛烈希治阁 / 亚佛烈德希区考克
阿瑟·柯南·道尔,阿瑟·柯南道尔 / 阿瑟·伊格納修斯·柯南·道尔爵士
竹之下宽次,竹之下寛次
千原浩史,千原ジュニア
竹野内丰,竹野内豊
竹原皮斯托,竹原和生 / 竹原手枪
北村一辉,北村康(本名)
伊东美咲,安齐智子
瑛太,永山瑛太(本名) / A太(昵称)
松隆子,藤间隆子(本名) / 松本幸华(艺名)
近藤公园,Koen Kondo
平田薫,平田薰
铃木谦一,鈴木謙一
皮尔斯·布鲁斯南,皮雅斯·布士南(港) / 皮尔斯·布洛斯南(台)
海伦·斯雷特,海伦·史莱特
安杰丽卡·休斯顿,安吉利卡·休斯顿
安妮特·贝宁,安纳·贝宁
斯坦利·图齐,史坦利·图齐
约翰·休斯顿,约翰·赫斯顿
海伦·米伦,海伦米兰
约翰·麦肯齐,约翰·马更些
克里斯多弗·兰伯特,克里斯多夫·兰伯特 / 克里斯托弗·兰伯特
千叶真一,JJサニー千葉 / 和千永倫道 / 前田禎穂
汤姆·威兹,汤姆·韦斯 / 汤姆·韦茨
克林特·伊斯特伍德,奇连伊士活 / 克林伊斯威特 / 东木头(谑称)
彼得·乌斯蒂诺夫,彼德·乌斯蒂诺夫
尼古拉斯·凯奇,尼古拉斯·基治 / 尼古拉斯·金·科波拉(本名)
理查·基尔,李察德·基尔 / 理察·基尔 / 李察·基尔
戴安·琳恩,黛安·莲恩 / 戴安娜·莱恩
弗朗西斯·福特·科波拉,法兰西斯福特哥普拉
杰夫·高布伦,杰夫·戈德布拉姆 / 杰夫·古德布鲁姆 / 杰弗里·林恩·戈德布拉姆 / 杰夫·戈德布罗姆
查尔斯·布朗森,查理布朗逊(港译)/老查(昵称)/斩柴佬(昵称)
高仓健,小田刚一
志村乔,岛崎捷尔
长濑智也,長瀬智也
渡部笃郎,渡部笃
田口智朗,Tomoro Taguchi / Tochirô Taguchi
椎名桔平,岩城正刚(本名)
斯蒂芬尼娅·桑德雷莉,斯蒂芬尼娅·桑德蕾莉
吉冈美穗,吉纲美穗
格伦·普拉默,葛连普鲁曼
文森特·多诺费奥,文森特·诺费奥
方·基默,瓦尔·基尔默
D·J·卡卢索,卡卢索
丁度·巴拉斯,提托布莱斯 / 蒂图·巴拉斯
维蒂姆·格洛纳,瓦迪姆·盖咯娜
斯图尔特·汤森德,史都华·唐森
米歇尔·布朗,米歇尔·勃朗
丹尼尔·奥图,丹尼尔·奥德耶 / 丹尼尔·柯托伊 / 达尼埃尔·奥德耶 / 丹尼尔·奥特尤尔
芭芭拉·赫希,巴巴拉·赫尔希
江扬,江陽
大友梨奈,大友丽奈 / 大友利内 / 大友利奈
陈宝莲,陈宝玲
马丁·斯科塞斯,马丁·斯科西斯 / 马田史高西斯 / 马丁史柯席斯 / 马丁·斯科塞西
小川亚佐美,小川亜佐美
乡英治,郷鍈治 / 乡锳治
松田英子,松田暎子
津川雅彦,加藤雅彦(本名) / かとう まさひこ(平假名)
秋吉久美子,小野寺久美子(本名)
比格斯·鲁纳,贝格斯·鲁纳
尼尔斯·塔维涅,尼尔·达维尼
哈维尔·巴登,贾维尔·巴尔登 / 贾维尔·巴登 / 哈维尔·巴丹
卡特琳·布雷亚,凯瑟琳·布蕾亚 / 凯瑟琳·布雷娜 / 凯萨琳·布雷亚 / 凯瑟琳·布雷亚
奥丝·图思,奥丝·布思
贡布洛维奇,维托尔德·格姆布洛维茨
陈耀成,陳耀成
阿莫斯·吉泰,阿莫斯·吉塔伊
杰瑞米·雷尼耶,杰瑞米·雷乃
艾曼纽·贝阿,艾曼妞·琵雅 / 艾曼纽爱莉·比尔特
阿藤快,阿藤公一(本名) / 阿藤 海（旧芸名）
曾根中生,曽根中生
三谷升,三谷昇
中村亚湖,亜湖 / 中村亜子
乔·鲍里托,乔恩·波利托
李华月,李華月
莫洛·鲍罗尼尼,毛罗·博洛尼尼
里卡多·斯卡马里奥,里卡尔多·斯卡马奇奥
